기준일,시군구명,구분,품목,규격 및 단위,물가동향,데이터기준일자
2021-07-04,장안구,개인서비스요금(외식비-한식),설렁탕,1인분(보통),7489,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),냉면,물냉면 1인분(보통),7050,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),비빕밥,1인분(보통),5850,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),갈비탕,1인분(보통),11150,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),삼계탕,닭 1마리 1인분(보통),13333,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),김치찌개,1인분(보통),6700,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),된장찌개,1인분(보통),6600,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),불고기,쇠고기 200g(국내산육우) 공기밥 제외,11846,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),삼겹살(외식),돼지고기 200g(국내산) 공기밥 제외,12060,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),등심구이(외식),쇠고기 200g(한우 1+) 1인분,38153,2021-07-28
2021-07-04,장안구,개인서비스요금(외식비-한식),돼지갈비(외식),국내산 200g,11633,2021-07-28
2021-07-04,장안구,(외식비-중식),짜장면,중화요리점 1그릇(보통),5850,2021-07-28
2021-07-04,장안구,(외식비-중식),짬뽕,중화요리점 1그릇(보통),7350,2021-07-28
2021-07-04,장안구,(외식비-중식),탕수육,중화요리점 1그릇(중 돼지고기),18200,2021-07-28
2021-07-04,장안구,(외식비-중식),생선초밥,일식집 1인분 활어기준,10694,2021-07-28
2021-07-04,장안구,(외식비-중식),돈까스,돈까스(국내산) 식당 1인분,6467,2021-07-28
2021-07-04,장안구,(외식비-중식),햄버거,전문점 불고기 버거 1개,3738,2021-07-28
2021-07-04,장안구,(외식비-중식),피자,전문점 불고기 피자 기본형(레귤러),12870,2021-07-28
2021-07-04,장안구,(외식비-중식),커피(외식),커피전문점 일반 원두커피 1잔,2850,2021-07-28
2021-07-04,장안구,(외식비-중식),국산차(외식),녹차 1잔,3880,2021-07-28
2021-07-04,장안구,(외식비-중식),치킨,튀김통닭 후라이드,13880,2021-07-28
2021-07-04,장안구,(외식비-중식),칼국수,칼국수 전문점 1그릇,6800,2021-07-28
2021-07-04,장안구,(외식비-중식),조리라면(외식),분식집 1인분,3400,2021-07-28
2021-07-04,장안구,(외식비-중식),김밥,일반김밥 1줄,2220,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),세탁료,신사복 상하 드라이클리닝 1회,6500,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),의복수선료,신사복 하의길의 수단(바지밑단줄임) 1회,3200,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),목욕료,일반 대중탕 성인1회,7286,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),이용료,성인남성이발 중류급 1회,10300,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),미용료(커트),성인여자커트 중류급 1회(주택 아파트단지 등 일반업소),11700,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),미용료(파마),성인여자 기본 중류급 1회(주택 아파트단지 등 일반업소),37000,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),찜질방이용료,성인1회(찜질복 대여료 포함),,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),숙박(호텔),관광호텔 1급 기준 대여료 포함,,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),숙박(여관),갑류 독방 1박 욕실부설 1일,34167,2021-07-28
2021-07-04,장안구,(세탁업+이미용업+숙박업등),콘도이용료,약 82.65㎡ 회원기준 1일 사용기준,,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),영화관람료,주중 상영시간 1매(입장세 및 문예진흥기금 포함),12500,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),수영장이용료,성인일반 입장료(체육기금포함) 1회,,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),볼링장이용료,일반인 평일 오후시간(신발제외) 1시간,4167,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),골프연습장이용료,초급반(남자) 회비 레슨비(진흥기금 포함 의복 및 신발제외) 1개월,270000,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),노래방이용료,일반인 저녁시간대 일반실 1시간,23000,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),당구장이용료,쿠션 당구대 일반인 저녁시간 1시간,8800,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),운동경기관람료,성인 경기입장료(축구 야구 등) 1회,12000,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),PC방 이용료,기본시간 1회,1100,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),택배수수료,무게 20kg이하 타지역 1개,7444,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),사진촬영료,반명함판 컬러 3*4㎝ 1조(8매),16500,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),사진인화료,디지털 사진인화요금(현상료 포함) 1매,538,2021-07-28
2021-07-04,장안구,개인서비스요금(기타),공동주택관리비,아파트 개별부담금 제외한 전금액,124924,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),사과,상품 1개,2289,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),배,상품 1개,5333,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),배추,2kg(중간크기) 1포기,3277,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),무,1kg 잎 없는것,1541,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),양파,작은망(까지않은것 1.5kg) 1망,2732,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),상추,적상추 100g,1342,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),오이,다다기오이 1개,600,2021-07-28
2021-07-04,장안구,생필품 요금(농산물 8),호박,애호박(중) 1개,1161,2021-07-28
2021-07-04,장안구,축산물(4),쇠고기,한우불고기(1등급) 600g,29240,2021-07-28
2021-07-04,장안구,축산물(4),돼지고기,생삼겹살(국내산) 600g,17121,2021-07-28
2021-07-04,장안구,축산물(4),닭고기,육계(국내산) 1마리(1kg),6482,2021-07-28
2021-07-04,장안구,축산물(4),달걀,10개입 1판 10개,4247,2021-07-28
2021-07-04,장안구,수산물(4),갈치,생물(60cm) 1마리,7389,2021-07-28
2021-07-04,장안구,수산물(4),동태,냉동 1kg 1마리,3426,2021-07-28
2021-07-04,장안구,수산물(4),오징어,물오징어(생물) 25cm 1마리,4096,2021-07-28
2021-07-04,장안구,수산물(4),고등어,자반고등어 30cm 1마리,3029,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),설렁탕,1인분(보통),8857,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),냉면,물냉면 1인분(보통),6850,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),비빕밥,1인분(보통),6100,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),갈비탕,1인분(보통),11290,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),삼계탕,닭 1마리 1인분(보통),14000,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),김치찌개,1인분(보통),6900,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),된장찌개,1인분(보통),6650,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),불고기,쇠고기 200g(국내산육우) 공기밥 제외,12475,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),삼겹살(외식),돼지고기 200g(국내산) 공기밥 제외,12380,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),등심구이(외식),쇠고기 200g(한우 1+) 1인분,34580,2021-07-28
2021-07-04,권선구,개인서비스요금(외식비-한식),돼지갈비(외식),국내산 200g,11410,2021-07-28
2021-07-04,권선구,(외식비-중식),짜장면,중화요리점 1그릇(보통),5500,2021-07-28
2021-07-04,권선구,(외식비-중식),짬뽕,중화요리점 1그릇(보통),6850,2021-07-28
2021-07-04,권선구,(외식비-중식),탕수육,중화요리점 1그릇(중 돼지고기),20300,2021-07-28
2021-07-04,권선구,(외식비-중식),생선초밥,일식집 1인분 활어기준,14250,2021-07-28
2021-07-04,권선구,(외식비-중식),돈까스,돈까스(국내산) 식당 1인분,7810,2021-07-28
2021-07-04,권선구,(외식비-중식),햄버거,전문점 불고기 버거 1개,3400,2021-07-28
2021-07-04,권선구,(외식비-중식),피자,전문점 불고기 피자 기본형(레귤러),13700,2021-07-28
2021-07-04,권선구,(외식비-중식),커피(외식),커피전문점 일반 원두커피 1잔,3270,2021-07-28
2021-07-04,권선구,(외식비-중식),국산차(외식),녹차 1잔,4150,2021-07-28
2021-07-04,권선구,(외식비-중식),치킨,튀김통닭 후라이드,14800,2021-07-28
2021-07-04,권선구,(외식비-중식),칼국수,칼국수 전문점 1그릇,5650,2021-07-28
2021-07-04,권선구,(외식비-중식),조리라면(외식),분식집 1인분,3400,2021-07-28
2021-07-04,권선구,(외식비-중식),김밥,일반김밥 1줄,2430,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),세탁료,신사복 상하 드라이클리닝 1회,6510,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),의복수선료,신사복 하의길의 수단(바지밑단줄임) 1회,3600,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),목욕료,일반 대중탕 성인1회,6875,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),이용료,성인남성이발 중류급 1회,10500,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),미용료(커트),성인여자커트 중류급 1회(주택 아파트단지 등 일반업소),12100,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),미용료(파마),성인여자 기본 중류급 1회(주택 아파트단지 등 일반업소),38800,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),찜질방이용료,성인1회(찜질복 대여료 포함),8500,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),숙박(호텔),관광호텔 1급 기준 대여료 포함,70000,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),숙박(여관),갑류 독방 1박 욕실부설 1일,46667,2021-07-28
2021-07-04,권선구,(세탁업+이미용업+숙박업등),콘도이용료,약 82.65㎡ 회원기준 1일 사용기준,,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),영화관람료,주중 상영시간 1매(입장세 및 문예진흥기금 포함),10500,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),수영장이용료,성인일반 입장료(체육기금포함) 1회,3833,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),볼링장이용료,일반인 평일 오후시간(신발제외) 1시간,4725,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),골프연습장이용료,초급반(남자) 회비 레슨비(진흥기금 포함 의복 및 신발제외) 1개월,190000,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),노래방이용료,일반인 저녁시간대 일반실 1시간,25000,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),당구장이용료,쿠션 당구대 일반인 저녁시간 1시간,9460,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),운동경기관람료,성인 경기입장료(축구 야구 등) 1회,,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),PC방 이용료,기본시간 1회,1090,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),택배수수료,무게 20kg이하 타지역 1개,7530,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),사진촬영료,반명함판 컬러 3*4㎝ 1조(8매),16444,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),사진인화료,디지털 사진인화요금(현상료 포함) 1매,417,2021-07-28
2021-07-04,권선구,개인서비스요금(기타),공동주택관리비,아파트 개별부담금 제외한 전금액,144514,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),사과,상품 1개,2886,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),배,상품 1개,5037,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),배추,2kg(중간크기) 1포기,3250,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),무,1kg 잎 없는것,1406,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),양파,작은망(까지않은것 1.5kg) 1망,2452,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),상추,적상추 100g,1118,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),오이,다다기오이 1개,634,2021-07-28
2021-07-04,권선구,생필품 요금(농산물 8),호박,애호박(중) 1개,1442,2021-07-28
2021-07-04,권선구,축산물(4),쇠고기,한우불고기(1등급) 600g,29156,2021-07-28
2021-07-04,권선구,축산물(4),돼지고기,생삼겹살(국내산) 600g,16584,2021-07-28
2021-07-04,권선구,축산물(4),닭고기,육계(국내산) 1마리(1kg),6350,2021-07-28
2021-07-04,권선구,축산물(4),달걀,10개입 1판 10개,4257,2021-07-28
2021-07-04,권선구,수산물(4),갈치,생물(60cm) 1마리,9620,2021-07-28
2021-07-04,권선구,수산물(4),동태,냉동 1kg 1마리,2962,2021-07-28
2021-07-04,권선구,수산물(4),오징어,물오징어(생물) 25cm 1마리,3288,2021-07-28
2021-07-04,권선구,수산물(4),고등어,자반고등어 30cm 1마리,3403,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),설렁탕,1인분(보통),8438,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),냉면,물냉면 1인분(보통),7333,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),비빕밥,1인분(보통),7000,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),갈비탕,1인분(보통),9778,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),삼계탕,닭 1마리 1인분(보통),13111,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),김치찌개,1인분(보통),6944,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),된장찌개,1인분(보통),6111,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),불고기,쇠고기 200g(국내산육우) 공기밥 제외,13167,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),삼겹살(외식),돼지고기 200g(국내산) 공기밥 제외,12889,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),등심구이(외식),쇠고기 200g(한우 1+) 1인분,39250,2021-07-28
2021-07-04,팔달구,개인서비스요금(외식비-한식),돼지갈비(외식),국내산 200g,12033,2021-07-28
2021-07-04,팔달구,(외식비-중식),짜장면,중화요리점 1그릇(보통),5667,2021-07-28
2021-07-04,팔달구,(외식비-중식),짬뽕,중화요리점 1그릇(보통),7056,2021-07-28
2021-07-04,팔달구,(외식비-중식),탕수육,중화요리점 1그릇(중 돼지고기),19000,2021-07-28
2021-07-04,팔달구,(외식비-중식),생선초밥,일식집 1인분 활어기준,15650,2021-07-28
2021-07-04,팔달구,(외식비-중식),돈까스,돈까스(국내산) 식당 1인분,8000,2021-07-28
2021-07-04,팔달구,(외식비-중식),햄버거,전문점 불고기 버거 1개,3940,2021-07-28
2021-07-04,팔달구,(외식비-중식),피자,전문점 불고기 피자 기본형(레귤러),14391,2021-07-28
2021-07-04,팔달구,(외식비-중식),커피(외식),커피전문점 일반 원두커피 1잔,3456,2021-07-28
2021-07-04,팔달구,(외식비-중식),국산차(외식),녹차 1잔,3533,2021-07-28
2021-07-04,팔달구,(외식비-중식),치킨,튀김통닭 후라이드,15444,2021-07-28
2021-07-04,팔달구,(외식비-중식),칼국수,칼국수 전문점 1그릇,5889,2021-07-28
2021-07-04,팔달구,(외식비-중식),조리라면(외식),분식집 1인분,3438,2021-07-28
2021-07-04,팔달구,(외식비-중식),김밥,일반김밥 1줄,2478,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),세탁료,신사복 상하 드라이클리닝 1회,7000,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),의복수선료,신사복 하의길의 수단(바지밑단줄임) 1회,4000,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),목욕료,일반 대중탕 성인1회,7500,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),이용료,성인남성이발 중류급 1회,10111,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),미용료(커트),성인여자커트 중류급 1회(주택 아파트단지 등 일반업소),13000,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),미용료(파마),성인여자 기본 중류급 1회(주택 아파트단지 등 일반업소),41667,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),찜질방이용료,성인1회(찜질복 대여료 포함),9000,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),숙박(호텔),관광호텔 1급 기준 대여료 포함,174000,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),숙박(여관),갑류 독방 1박 욕실부설 1일,24167,2021-07-28
2021-07-04,팔달구,(세탁업+이미용업+숙박업등),콘도이용료,약 82.65㎡ 회원기준 1일 사용기준,,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),영화관람료,주중 상영시간 1매(입장세 및 문예진흥기금 포함),12000,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),수영장이용료,성인일반 입장료(체육기금포함) 1회,8000,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),볼링장이용료,일반인 평일 오후시간(신발제외) 1시간,4100,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),골프연습장이용료,초급반(남자) 회비 레슨비(진흥기금 포함 의복 및 신발제외) 1개월,156667,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),노래방이용료,일반인 저녁시간대 일반실 1시간,17556,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),당구장이용료,쿠션 당구대 일반인 저녁시간 1시간,7457,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),운동경기관람료,성인 경기입장료(축구 야구 등) 1회,14000,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),PC방 이용료,기본시간 1회,1056,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),택배수수료,무게 20kg이하 타지역 1개,7214,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),사진촬영료,반명함판 컬러 3*4㎝ 1조(8매),17625,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),사진인화료,디지털 사진인화요금(현상료 포함) 1매,513,2021-07-28
2021-07-04,팔달구,개인서비스요금(기타),공동주택관리비,아파트 개별부담금 제외한 전금액,88209,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),사과,상품 1개,3671,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),배,상품 1개,5193,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),배추,2kg(중간크기) 1포기,3299,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),무,1kg 잎 없는것,1713,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),양파,작은망(까지않은것 1.5kg) 1망,2922,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),상추,적상추 100g,1437,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),오이,다다기오이 1개,661,2021-07-28
2021-07-04,팔달구,생필품 요금(농산물 8),호박,애호박(중) 1개,1364,2021-07-28
2021-07-04,팔달구,축산물(4),쇠고기,한우불고기(1등급) 600g,29389,2021-07-28
2021-07-04,팔달구,축산물(4),돼지고기,생삼겹살(국내산) 600g,16230,2021-07-28
2021-07-04,팔달구,축산물(4),닭고기,육계(국내산) 1마리(1kg),6699,2021-07-28
2021-07-04,팔달구,축산물(4),달걀,10개입 1판 10개,4696,2021-07-28
2021-07-04,팔달구,수산물(4),갈치,생물(60cm) 1마리,10669,2021-07-28
2021-07-04,팔달구,수산물(4),동태,냉동 1kg 1마리,3762,2021-07-28
2021-07-04,팔달구,수산물(4),오징어,물오징어(생물) 25cm 1마리,3789,2021-07-28
